Vietnam Electricity Production,,,,,,,,,,
http://www.iea.org/statistics/statisticssearch/report/?country=VIETNAM&product=electricityandheat&year=1990,,,,,,,,,,
Accessed 2017-05-04,,,,,,,,,,
Units : GWh,,,,,,,,,,
,,,,,,,,,,
year,Coal,Oil,Gas,Biomass,Hydro,Wind,Total_production,Imports,Exports,Domestic_supply
1990,2001,1305,6,0,5369,0,8681,0,0,8681
1991,1366,1492,35,0,6317,0,9210,0,0,9210
1992,851,1620,6,0,7228,0,9705,0,0,9705
1993,637,2046,14,0,7965,0,10662,0,0,10662
1994,1071,1970,4,0,9243,0,12288,0,0,12288
1995,2023,1295,748,0,10582,0,14648,0,0,14648
1996,2376,1463,1097,0,12008,0,16944,0,0,16944
1997,3325,2177,1973,0,11657,0,19132,0,0,19132
1998,3480,3676,3437,0,11095,0,21688,0,0,21688
1999,2915,3274,3596,0,13774,0,23559,0,0,23559
2000,3135,4519,4356,0,14551,0,26561,0,0,26561
2001,3218,4757,4423,0,18210,0,30608,0,0,30608
2002,4878,4386,8334,0,18198,0,35796,0,0,35796
2003,7237,2658,12044,0,18986,0,40925,0,0,40925
2004,7173,1685,19533,0,17818,0,46209,0,0,46209
2005,12175,2167,22319,50,16945,0,53656,383,0,54039
2006,14114,1404,24502,65,20408,0,60493,966,0,61459
2007,14620,2656,26618,79,23035,0,67008,2630,0,69638
2008,14723,1569,31062,55,25986,1,73396,3220,0,76616
2009,14979,1785,36358,62,29981,10,83175,4102,-373,86904
2010,22429,1749,38827,56,40924,87,104072,4960,-1087,107945
2011,22429,1749,38827,56,40924,87,104072,4960,-1087,107945
2012,24855,372,39426,57,52795,87,117592,2676,-1224,119044
2013,30654,424,41876,58,51955,87,125054,3663,-1337,127380
2014,34563,449,47211,59,58544,87,140913,4128,-1507,143534
